Number;Technical parameter-name;parameter-name;Description;Observed property;Label;Unit;Symbol
78;3-6-3-0.0-103-1;direct-solar-exposure;Direct solar exposure is the time integral of direct solar irradiance. Direct Solar Irradiance is the solar flux per unit area received from the solid angle of the Sun's disc on a surface normal to the sun direction. Not present on first model step.;-;Joule pr. square metres;J * m**-2;http://codes.wmo.int/common/unit/_J_m-2
79;0-4-7-0.0-103-1;downward-short-wave-radiation-flux;Downward short-wave radiation flux. Not present on first model step.;https://codes.ecmwf.int/grib/param-db/260087;Watt pr. square metres;W * m**-2;https://codes.wmo.int/wmdr/unit/_W.m-2
80;0-17-193-0.0-103;probability-of-lightning;Probability of lightning;-;Percent / 100;0..1;http://codes.wmo.int/common/unit/_percent
81;0-1-192-0.0-103;precipitation-type;This parameter describes the type of precipitation at the surface, drizzle = 0, rain = 1, sleet = 2, snow = 3, freezing drizzle = 4, freezing rain = 5, graupel = 6, hail = 7;-;Precipitation type;precip_type;An index of the precipitation type, see parameter description for what values mean
82;0-1-69-0.0-1;total-column-cloud-liquid-water;This parameter is the amount of liquid water contained within cloud droplets in a column extending from the surface of the Earth to the top of the atmosphere.;https://codes.ecmwf.int/grib/param-db/?id=78;Kg pr. square metres;Kg * m**-2;http://codes.wmo.int/common/unit/_kg_m-2
83;0-1-75-0.0-103;graupel-precipitation-rate;Graupel (snow pellets) precipitation rate;https://codes.ecmwf.int/grib/param-db/?id=500145;Kg pr. square metres;Kg * m**-2 * s**-1;https://codes.wmo.int/common/unit/_kg_m-2_s-1
84;0-4-3-0.0-103-1;global-radiation-flux;Global radiation flux;https://codes.ecmwf.int/grib/param-db/?id=3117;Watt pr. square metres;W * m**-2;https://codes.wmo.int/wmdr/unit/_W.m-2
85;0-1-53-0.0-103-1;total-snowfall-rate-water-equivalent;Total snowfall rate water equivalent;https://codes.ecmwf.int/grib/param-db/?id=260049;Kg pr. square metres;Kg * m**-2 * s**-1;https://codes.wmo.int/common/unit/_kg_m-2_s-1
86;0-1-65-0.0-103-1;rain-precipitation-rate;Rain precipitation rate;https://codes.ecmwf.int/grib/param-db/?id=260058;Kg pr. square metres;Kg * m**-2 * s**-1;https://codes.wmo.int/common/unit/_kg_m-2_s-1
87;0-2-17-0.0-103-1;momentum-flux-u;Momentum flux, u component;https://codes.ecmwf.int/grib/param-db/?id=260062;Newton pr. square metres;N * m**-2;https://codes.wmo.int/common/unit/_N_m-2
88;0-2-18-0.0-103-1;momentum-flux-v;Momentum flux, v component;https://codes.ecmwf.int/grib/param-db/?id=260063;Newton pr. square metres;N * m**-2;https://codes.wmo.int/common/unit/_N_m-2
89;0-0-11-0.0-103-1;sensible-heat-net-flux;Sensible heat net flux;-;Watt pr. square metres;W * m**-2;https://codes.wmo.int/wmdr/unit/_W.m-2
90;0-5-4-0.0-103-1;upward-long-wave-radiation-flux;Upward long-wave radiation flux;https://codes.ecmwf.int/grib/param-db/?id=260098;Watt pr. square metres;W * m**-2;https://codes.wmo.int/wmdr/unit/_W.m-2
91;0-6-199-0.0-103;cloud-transmittance;Fraction of visible light that goes through the cloud layer.;https://www.wikidata.org/wiki/Q84935567;Percent / 100;0..1;
